COD_CANTON;DESCRIPCION - PROVINCIA;DESCRIPCION - CANTON
0101;01;CUENCA
0102;01;GIR‡N
0103;01;GUALACEO
0104;01;NAB‡N
0105;01;PAUTE
0106;01;PUCARµ
0107;01;SAN FERNANDO
0108;01;SANTA ISABEL
0109;01;SIGSIG
0110;01;O•A
0111;01;CHORDELEG
0112;01;EL PAN
0113;01;SEVILLA DE ORO
0114;01;GUACHAPALA
0115;01;CAMILO PONCE ENR÷QUEZ
0201;02;GUARANDA
0202;02;CHILLANES
0203;02;CHIMBO
0204;02;ECHEAND÷A
0205;02;SAN MIGUEL
0206;02;CALUMA
0207;02;LAS NAVES
0301;03;AZOGUES
0302;03;BIBLIµN
0303;03;CA•AR
0304;03;LA TRONCAL
0305;03;EL TAMBO
0306;03;DêELEG
0307;03;SUSCAL
0401;04;TULCµN
0402;04;BOL÷VAR
0403;04;ESPEJO
0404;04;MIRA
0405;04;MONTÈFAR
0406;04;SAN PEDRO DE HUACA
0501;05;LATACUNGA
0502;05;LA MANµ
0503;05;PANGUA
0504;05;PUJIL÷
0505;05;SALCEDO
0506;05;SAQUISIL÷
0507;05;SIGCHOS
0601;06;RIOBAMBA
0602;06;ALAUS÷
0603;06;COLTA
0604;06;CHAMBO
0605;06;CHUNCHI
0606;06;GUAMOTE
0607;06;GUANO
0608;06;PALLATANGA
0609;06;PENIPE
0610;06;CUMANDµ
0701;07;MACHALA
0702;07;ARENILLAS
0703;07;ATAHUALPA
0704;07;BALSAS
0705;07;CHILLA
0706;07;EL GUABO
0707;07;HUAQUILLAS
0708;07;MARCABEL÷
0709;07;PASAJE
0710;07;PI•AS
0711;07;PORTOVELO
0712;07;SANTA ROSA
0713;07;ZARUMA
0714;07;LAS LAJAS
0801;08;ESMERALDAS
0802;08;ELOY ALFARO
0803;08;MUISNE
0804;08;QUININDê
0805;08;SAN LORENZO
0806;08;ATACAMES
0807;08;RIOVERDE
0808;08;LA CONCORDIA
0901;09;GUAYAQUIL
0902;09;ALFREDO BAQUERIZO MORENO (JUJµN)
0903;09;BALAO
0904;09;BALZAR
0905;09;COLIMES
0906;09;DAULE
0907;09;DURµN
0908;09;EL EMPALME
0909;09;EL TRIUNFO
0910;09;MILAGRO
0911;09;NARANJAL
0912;09;NARANJITO
0913;09;PALESTINA
0914;09;PEDRO CARBO
0916;09;SAMBOROND‡N
0918;09;SANTA LUC÷A
0919;09;SALITRE (URBINA JADO)
0920;09;SAN JACINTO DE YAGUACHI
0921;09;PLAYAS
0922;09;SIM‡N BOL÷VAR
0923;09;CORONEL MARCELINO MARIDUE•A
0924;09;LOMAS DE SARGENTILLO
0925;09;NOBOL
0927;09;GENERAL ANTONIO ELIZALDE (BUCAY)
0928;09;ISIDRO AYORA
1001;10;IBARRA
1002;10;ANTONIO ANTE
1003;10;COTACACHI
1004;10;OTAVALO
1005;10;PIMAMPIRO
1006;10;SAN MIGUEL DE URCUQU÷
1101;11;LOJA 
1102;11;CALVAS 
1103;11;CATAMAYO 
1104;11;CELICA 
1105;11;CHAGUARPAMBA 
1106;11;ESP÷NDOLA 
1107;11;GONZANAMµ 
1108;11;MACARµ 
1109;11;PALTAS
1110;11;PUYANGO
1111;11;SARAGURO
1112;11;SOZORANGA
1113;11;ZAPOTILLO
1114;11;PINDAL
1115;11;QUILANGA
1116;11;OLMEDO
1201;12;BABAHOYO 
1202;12;BABA 
1203;12;MONTALVO 
1204;12;PUEBLOVIEJO
1205;12;QUEVEDO 
1206;12;URDANETA
1207;12;VENTANAS
1208;12;VINCES
1209;12;PALENQUE
1210;12;BUENA Fê
1211;12;VALENCIA
1212;12;MOCACHE
1213;12;QUINSALOMA
1301;13;PORTOVIEJO 
1302;13;BOL÷VAR 
1303;13;CHONE 
1304;13;EL CARMEN 
1305;13;FLAVIO ALFARO 
1306;13;JIPIJAPA 
1307;13;JUN÷N 
1308;13;MANTA 
1309;13;MONTECRISTI 
1310;13;PAJµN 
1311;13;PICHINCHA 
1312;13;ROCAFUERTE
1313;13;SANTA ANA
1314;13;SUCRE
1315;13;TOSAGUA
1316;13;24 DE MAYO
1317;13;PEDERNALES
1318;13;OLMEDO
1319;13;PUERTO L‡PEZ
1320;13;JAMA
1321;13;JARAMIJ‡
1322;13;SAN VICENTE
1401;14;MORONA 
1402;14;GUALAQUIZA 
1403;14;LIM‡N INDANZA 
1404;14;PALORA 
1405;14;SANTIAGO 
1406;14;SUCÈA 
1407;14;HUAMBOYA
1408;14;SAN JUAN BOSCO
1409;14;TAISHA
1410;14;LOGRO•O
1411;14;PABLO SEXTO
1412;14;TIWINTZA
1501;15;TENA  
1503;15;ARCHIDONA 
1504;15;EL CHACO
1507;15;QUIJOS
1509;15;CARLOS JULIO AROSEMENA TOLA
1601;16;PASTAZA
1602;16;MERA
1603;16;SANTA CLARA
1604;16;ARAJUNO
1701;17;QUITO
1702;17;CAYAMBE
1703;17;MEJ÷A
1704;17;PEDRO MONCAYO
1705;17;RUMI•AHUI
1707;17;SAN MIGUEL DE LOS BANCOS
1708;17;PEDRO VICENTE MALDONADO
1709;17;PUERTO QUITO
1801;18;AMBATO
1802;18;BA•OS DE AGUA SANTA
1803;18;CEVALLOS
1804;18;MOCHA
1805;18;PATATE
1806;18;QUERO
1807;18;SAN PEDRO DE PELILEO
1808;18;SANTIAGO DE P÷LLARO
1809;18;TISALEO
1901;19;ZAMORA
1902;19;CHINCHIPE
1903;19;NANGARITZA
1904;19;YACUAMB÷
1905;19;YANTZAZA
1906;19;EL PANGUI
1907;19;CENTINELA DEL C‡NDOR
1908;19;PALANDA
1909;19;PAQUISHA
2001;20;SAN CRIST‡BAL
2002;21;ISABELA
2003;22;SANTA CRUZ
2101;21;LAGO AGRIO
2102;21;GONZALO PIZARRO
2103;21;PUTUMAYO
2104;21;SHUSHUFINDI
2105;21;SUCUMB÷OS
2106;21;CASCALES
2107;21;CUYABENO
2201;22;ORELLANA
2202;22;AGUARICO
2203;22;LA JOYA DE LOS SACHAS
2204;22;LORETO
2301;23;SANTO DOMINGO
2401;24;SANTA ELENA
2402;24;LA LIBERTAD
2403;24;SALINAS
