COD_CANTON;DESCRIPCION - PROVINCIA;DESCRIPCION - CANTON
0101;PROVINCIA DEL AZUAY;CUENCA
0102;PROVINCIA DEL AZUAY;GIR‡N
0103;PROVINCIA DEL AZUAY;GUALACEO
0104;PROVINCIA DEL AZUAY;NAB‡N
0105;PROVINCIA DEL AZUAY;PAUTE
0106;PROVINCIA DEL AZUAY;PUCARµ
0107;PROVINCIA DEL AZUAY;SAN FERNANDO
0108;PROVINCIA DEL AZUAY;SANTA ISABEL
0109;PROVINCIA DEL AZUAY;SIGSIG
0110;PROVINCIA DEL AZUAY;O•A
0111;PROVINCIA DEL AZUAY;CHORDELEG
0112;PROVINCIA DEL AZUAY;EL PAN
0113;PROVINCIA DEL AZUAY;SEVILLA DE ORO
0114;PROVINCIA DEL AZUAY;GUACHAPALA
0115;PROVINCIA DEL AZUAY;CAMILO PONCE ENR÷QUEZ
0201;PROVINCIA DE BOLIVAR;GUARANDA
0202;PROVINCIA DE BOLIVAR;CHILLANES
0203;PROVINCIA DE BOLIVAR;CHIMBO
0204;PROVINCIA DE BOLIVAR;ECHEAND÷A
0205;PROVINCIA DE BOLIVAR;SAN MIGUEL
0206;PROVINCIA DE BOLIVAR;CALUMA
0207;PROVINCIA DE BOLIVAR;LAS NAVES
0301;PROVINCIA DE CA•AR;AZOGUES
0302;PROVINCIA DE CA•AR;BIBLIµN
0303;PROVINCIA DE CA•AR;CA•AR
0304;PROVINCIA DE CA•AR;LA TRONCAL
0305;PROVINCIA DE CA•AR;EL TAMBO
0306;PROVINCIA DE CA•AR;DêELEG
0307;PROVINCIA DE CA•AR;SUSCAL
0401;PROVINCIA DEL CARCHI;TULCµN
0402;PROVINCIA DEL CARCHI;BOL÷VAR
0403;PROVINCIA DEL CARCHI;ESPEJO
0404;PROVINCIA DEL CARCHI;MIRA
0405;PROVINCIA DEL CARCHI;MONTÈFAR
0406;PROVINCIA DEL CARCHI;SAN PEDRO DE HUACA
0501;PROVINCIA DE COTOPAXI;LATACUNGA
0502;PROVINCIA DE COTOPAXI;LA MANµ
0503;PROVINCIA DE COTOPAXI;PANGUA
0504;PROVINCIA DE COTOPAXI;PUJIL÷
0505;PROVINCIA DE COTOPAXI;SALCEDO
0506;PROVINCIA DE COTOPAXI;SAQUISIL÷
0507;PROVINCIA DE COTOPAXI;SIGCHOS
0601;PROVINCIA DEL CHIMBORAZO;RIOBAMBA
0602;PROVINCIA DEL CHIMBORAZO;ALAUS÷
0603;PROVINCIA DEL CHIMBORAZO;COLTA
0604;PROVINCIA DEL CHIMBORAZO;CHAMBO
0605;PROVINCIA DEL CHIMBORAZO;CHUNCHI
0606;PROVINCIA DEL CHIMBORAZO;GUAMOTE
0607;PROVINCIA DEL CHIMBORAZO;GUANO
0608;PROVINCIA DEL CHIMBORAZO;PALLATANGA
